,Fare,binary,binary_value
148,26.0,000001101001010,26
149,13.0,011010000000101,13
150,12.525,110010001000100,12.5312
151,66.6,100001010100111,66.625
152,8.05,100000001100100,8.04688
153,14.5,111010000000100,14.5
154,7.3125,000111010100110,7.3125
155,61.3792,111101011000110,61.375
156,7.7333,011110111100100,7.73438
157,8.05,100000001100100,8.04688
158,8.6625,100010101000100,8.65625
159,69.55,001000101101001,69.5
160,16.1,100000001100101,16.0938
161,15.75,111111000000100,15.75
162,7.775,111110001100011,7.77344
163,8.6625,100010101000100,8.65625
164,39.6875,100111101100110,39.6875
165,20.525,101001000100101,20.5312
166,55.0,110111000000110,55
167,27.9,110111110100101,27.9062
168,25.925,110011111000101,25.9375
169,56.4958,000111000101001,56.5
170,33.5,010000110000111,33.5
171,29.125,111010010000101,29.125
172,11.1333,101100100100100,11.1406
173,7.925,111111011000011,7.92188
174,30.6958,011110101100110,30.6875
175,7.8542,111110110100011,7.85156
176,25.4667,110010111100101,25.4688
177,28.7125,111001011100101,28.7188
178,13.0,011010000000101,13
179,0.0,000000000000000,0
180,69.55,001000101101001,69.5
181,15.05,111100001100100,15.0469
182,31.3875,001111101100111,31.375
183,39.0,010011100000111,39
184,22.025,101100000100101,22.0312
185,50.0,110010000000110,50
186,15.5,000011111001000,15.5
187,26.55,011010100100110,26.5625
188,15.5,000011111001000,15.5
189,7.8958,111111001100011,7.89844
190,13.0,011010000000101,13
191,13.0,011010000000101,13
192,7.8542,111110110100011,7.85156
193,26.0,000001101001010,26
194,27.7208,110111011100101,27.7188
195,146.5208,100100101001000,146.5
196,7.75,000001111101000,7.75
197,8.4042,100001101000100,8.40625
198,7.75,000001111101000,7.75
199,13.0,011010000000101,13
200,9.5,000100110000111,9.5
201,69.55,001000101101001,69.5
202,6.4958,110011111100011,6.49219
203,7.225,111001110100011,7.22656
204,8.05,100000001100100,8.04688
205,10.4625,010100111100101,10.4688
206,15.85,111111011000100,15.8438
207,18.7875,100101100100101,18.7812
208,7.75,000001111101000,7.75
209,31.0,001111100000111,31
210,7.05,111000011000011,7.04688
211,21.0,001010100000111,21
212,7.25,000011101000111,7.25
213,13.0,011010000000101,13
214,7.75,000001111101000,7.75
215,113.275,011100010101000,113.25
216,7.925,111111011000011,7.92188
217,27.0,011011000000110,27
218,76.2917,100110001000111,76.25
219,10.5,001010100000110,10.5
220,8.05,100000001100100,8.04688
221,13.0,011010000000101,13
222,8.05,100000001100100,8.04688
223,7.8958,111111001100011,7.89844
224,90.0,000101101001010,90
225,9.35,100101011000100,9.34375
226,10.5,001010100000110,10.5
227,7.25,000011101000111,7.25
228,13.0,011010000000101,13
229,25.4667,110010111100101,25.4688
230,83.475,001010011101001,83.5
231,7.775,111110001100011,7.77344
232,13.5,000110110000111,13.5
233,31.3875,001111101100111,31.375
234,10.5,001010100000110,10.5
235,7.55,011110001100100,7.54688
236,26.0,000001101001010,26
237,26.25,000110100101000,26.25
238,10.5,001010100000110,10.5
239,12.275,110001001000100,12.2812
240,14.4542,111001110100100,14.4531
241,15.5,000011111001000,15.5
242,10.5,001010100000110,10.5
243,7.125,111001000000011,7.125
244,7.225,111001110100011,7.22656
245,90.0,000101101001010,90
246,7.775,111110001100011,7.77344
247,14.5,111010000000100,14.5
248,52.5542,110100100100110,52.5625
249,26.0,000001101001010,26
250,7.25,000011101000111,7.25
251,10.4625,010100111100101,10.4688
252,26.55,011010100100110,26.5625
253,16.1,100000001100101,16.0938
254,20.2125,101000011100101,20.2188
255,15.2458,000011110101000,15.25
256,79.2,100111101000111,79.25
257,86.5,001010110101001,86.5
258,512.3292,000001000001111,512
259,26.0,000001101001010,26
260,7.75,000001111101000,7.75
261,31.3875,001111101100111,31.375
262,79.65,100111110100111,79.625
263,0.0,000000000000000,0
264,7.75,000001111101000,7.75
265,10.5,001010100000110,10.5
266,39.6875,100111101100110,39.6875
267,7.775,111110001100011,7.77344
268,153.4625,100110011001000,153.5
269,135.6333,100001111101000,135.75
270,31.0,001111100000111,31
271,0.0,000000000000000,0
272,19.5,100111000000101,19.5
273,29.7,111011011000101,29.6875
274,7.75,000001111101000,7.75
275,77.9583,100111000000111,78
276,7.75,000001111101000,7.75
277,0.0,000000000000000,0
278,29.125,111010010000101,29.125
279,20.25,010100010000110,20.25
280,7.75,000001111101000,7.75
281,7.8542,111110110100011,7.85156
282,9.5,000100110000111,9.5
283,8.05,100000001100100,8.04688
284,26.0,000001101001010,26
285,8.6625,100010101000100,8.65625
286,9.5,000100110000111,9.5
287,7.8958,111111001100011,7.89844
288,13.0,011010000000101,13
289,7.75,000001111101000,7.75
290,78.85,100111011100111,78.875
291,91.0792,101101100100111,91.125
292,12.875,110011100000100,12.875
293,8.85,010001101100101,8.84375
294,7.8958,111111001100011,7.89844
295,27.7208,110111011100101,27.7188
296,7.2292,111001110100011,7.22656
297,151.55,100101111001000,151.5
298,30.5,111101000000101,30.5
299,247.5208,011110111101001,247.5
300,7.75,000001111101000,7.75
301,23.25,101110100000101,23.25
302,0.0,000000000000000,0
303,12.35,110001011000100,12.3438
304,8.05,100000001100100,8.04688
305,151.55,100101111001000,151.5
306,110.8833,110111011100111,110.875
307,108.9,110110011100111,108.875
308,24.0,110000000000101,24
309,56.9292,111000111100110,56.9375
310,83.1583,101001100100111,83.125
311,262.375,100000110101001,262.5
312,26.0,000001101001010,26
313,7.8958,111111001100011,7.89844
314,26.25,000110100101000,26.25
315,7.8542,111110110100011,7.85156
316,26.0,000001101001010,26
317,14.0,000011100001000,14
318,164.8667,101001001101000,164.75
319,134.5,010000110101001,134.5
320,7.25,000011101000111,7.25
321,7.8958,111111001100011,7.89844
322,12.35,110001011000100,12.3438
323,29.0,000001110101010,29
324,69.55,001000101101001,69.5
325,135.6333,100001111101000,135.75
326,6.2375,011000111100100,6.23438
327,13.0,011010000000101,13
328,20.525,101001000100101,20.5312
329,57.9792,000111010001001,58
330,23.25,101110100000101,23.25
331,28.5,000011100101001,28.5
332,153.4625,100110011001000,153.5
333,18.0,000001001001010,18
334,133.65,100001011101000,133.75
335,7.8958,111111001100011,7.89844
336,66.6,100001010100111,66.625
337,134.5,010000110101001,134.5
338,8.05,100000001100100,8.04688
339,35.5,010001110000111,35.5
340,26.0,000001101001010,26
341,263.0,100000111001001,263
342,13.0,011010000000101,13
343,13.0,011010000000101,13
344,13.0,011010000000101,13
345,13.0,011010000000101,13
346,13.0,011010000000101,13
347,16.1,100000001100101,16.0938
348,15.9,011111110100101,15.9062
349,8.6625,100010101000100,8.65625
350,9.225,010010011100101,9.21875
351,35.0,000010001101010,35
352,7.2292,111001110100011,7.22656
353,17.8,010001110100110,17.8125
354,7.225,111001110100011,7.22656
355,9.5,000100110000111,9.5
356,55.0,110111000000110,55
357,13.0,011010000000101,13
358,7.8792,111111000100011,7.88281
359,7.8792,111111000100011,7.88281
360,27.9,110111110100101,27.9062
361,27.7208,110111011100101,27.7188
362,14.4542,111001110100100,14.4531
363,7.05,111000011000011,7.04688
364,15.5,000011111001000,15.5
365,7.25,000011101000111,7.25
366,75.25,100101101000111,75.25
367,7.2292,111001110100011,7.22656
368,7.75,000001111101000,7.75
369,69.3,100010101000111,69.25
370,55.4417,110111011100110,55.4375
371,6.4958,110011111100011,6.49219
372,8.05,100000001100100,8.04688
373,135.6333,100001111101000,135.75
374,21.075,010101000100110,21.0625
375,82.1708,101001000100111,82.125
376,7.25,000011101000111,7.25
377,211.5,011010011101001,211.5
378,4.0125,100000001000011,4.01562
379,7.775,111110001100011,7.77344
380,227.525,111000111001000,227.5
381,15.7417,111110111100100,15.7344
382,7.925,111111011000011,7.92188
383,52.0,011010000000111,52
384,7.8958,111111001100011,7.89844
385,73.5,001001001101001,73.5
386,46.9,101110111000110,46.875
387,13.0,011010000000101,13
388,7.7292,111101110100011,7.72656
389,12.0,000000001101100,12
390,120.0,001111000001001,120
391,7.7958,111110011000011,7.79688
392,7.925,111111011000011,7.92188
393,113.275,011100010101000,113.25
394,16.7,100001011000101,16.6875
395,7.7958,111110011000011,7.79688
396,7.8542,111110110100011,7.85156
397,26.0,000001101001010,26
398,10.5,001010100000110,10.5
399,12.65,011001010100101,12.6562
400,7.925,111111011000011,7.92188
401,8.05,100000001100100,8.04688
402,9.825,100111010100100,9.82812
403,15.85,111111011000100,15.8438
404,8.6625,100010101000100,8.65625
405,21.0,001010100000111,21
406,7.75,000001111101000,7.75
407,18.75,000100101101000,18.75
408,7.775,111110001100011,7.77344
409,25.4667,110010111100101,25.4688
410,7.8958,111111001100011,7.89844
411,6.8583,110110111000011,6.85938
412,90.0,000101101001010,90
413,0.0,000000000000000,0
414,7.925,111111011000011,7.92188
415,8.05,100000001100100,8.04688
416,32.5,100000100000110,32.5
417,13.0,011010000000101,13
418,13.0,011010000000101,13
419,24.15,110000010100101,24.1562
420,7.8958,111111001100011,7.89844
421,7.7333,011110111100100,7.73438
422,7.875,001111110000101,7.875
423,14.4,111001101000100,14.4062
424,20.2125,101000011100101,20.2188
425,7.25,000011101000111,7.25
426,26.0,000001101001010,26
427,26.0,000001101001010,26
428,7.75,000001111101000,7.75
429,8.05,100000001100100,8.04688
430,26.55,011010100100110,26.5625
431,16.1,100000001100101,16.0938
432,26.0,000001101001010,26
433,7.125,111001000000011,7.125
434,55.9,011011111100111,55.875
435,120.0,001111000001001,120
436,34.375,010001001100111,34.375
437,18.75,000100101101000,18.75
438,263.0,100000111001001,263
439,10.5,001010100000110,10.5
440,26.25,000110100101000,26.25
441,9.5,000100110000111,9.5
442,7.775,111110001100011,7.77344
443,13.0,011010000000101,13
444,8.1125,100000011100100,8.10938
445,81.8583,101000111100111,81.875
446,19.5,100111000000101,19.5
447,26.55,011010100100110,26.5625
448,19.2583,010011010000110,19.25
449,30.5,111101000000101,30.5
450,27.75,011011110000110,27.75
451,19.9667,100111111100101,19.9688
452,27.75,011011110000110,27.75
453,89.1042,101100100100111,89.125
454,8.05,100000001100100,8.04688
455,7.8958,111111001100011,7.89844
456,26.55,011010100100110,26.5625
457,51.8625,110011111000110,51.875
458,10.5,001010100000110,10.5
459,7.75,000001111101000,7.75
460,26.55,011010100100110,26.5625
461,8.05,100000001100100,8.04688
462,38.5,000100110101001,38.5
463,13.0,011010000000101,13
464,8.05,100000001100100,8.04688
465,7.05,111000011000011,7.04688
466,0.0,000000000000000,0
467,26.55,011010100100110,26.5625
468,7.725,111101110100011,7.72656
469,19.2583,010011010000110,19.25
470,7.25,000011101000111,7.25
471,8.6625,100010101000100,8.65625
472,27.75,011011110000110,27.75
473,13.7917,110111001100100,13.7969
474,9.8375,010011101100101,9.84375
475,52.0,011010000000111,52
476,21.0,001010100000111,21
477,7.0458,011100001100100,7.04688
478,7.5208,111100001100011,7.52344
479,12.2875,011000100100101,12.2812
480,46.9,101110111000110,46.875
481,0.0,000000000000000,0
482,8.05,100000001100100,8.04688
483,9.5875,100110011000100,9.59375
484,91.0792,101101100100111,91.125
485,25.4667,110010111100101,25.4688
486,90.0,000101101001010,90
487,29.7,111011011000101,29.6875
488,8.05,100000001100100,8.04688
489,15.9,011111110100101,15.9062
490,19.9667,100111111100101,19.9688
491,7.25,000011101000111,7.25
492,30.5,111101000000101,30.5
493,49.5042,000110001101001,49.5
494,8.05,100000001100100,8.04688
495,14.4583,111001110100100,14.4531
496,78.2667,100111001000111,78.25
497,15.1,011110001100101,15.0938
498,151.55,100101111001000,151.5
499,7.7958,111110011000011,7.79688
500,8.6625,100010101000100,8.65625
501,7.75,000001111101000,7.75
502,7.6292,111101000100011,7.63281
503,9.5875,100110011000100,9.59375
504,86.5,001010110101001,86.5
505,108.9,110110011100111,108.875
506,26.0,000001101001010,26
507,26.55,011010100100110,26.5625
508,22.525,101101000100101,22.5312
509,56.4958,000111000101001,56.5
510,7.75,000001111101000,7.75
511,8.05,100000001100100,8.04688
512,26.2875,110100100100101,26.2812
513,59.4,111011011000110,59.375
514,7.4958,111011111100011,7.49219
515,34.0208,000010001001010,34
516,10.5,001010100000110,10.5
517,24.15,110000010100101,24.1562
518,26.0,000001101001010,26
519,7.8958,111111001100011,7.89844
520,93.5,010111011001000,93.5
521,7.8958,111111001100011,7.89844
522,7.225,111001110100011,7.22656
523,57.9792,000111010001001,58
524,7.2292,111001110100011,7.22656
525,7.75,000001111101000,7.75
526,10.5,001010100000110,10.5
527,221.7792,110111011101000,221.75
528,7.925,111111011000011,7.92188
529,11.5,101110000000100,11.5
530,26.0,000001101001010,26
531,7.2292,111001110100011,7.22656
532,7.2292,111001110100011,7.22656
533,22.3583,101100101100101,22.3438
534,8.6625,100010101000100,8.65625
535,26.25,000110100101000,26.25
536,26.55,011010100100110,26.5625
537,106.425,110101001100111,106.375
538,14.5,111010000000100,14.5
539,49.5,110001100000110,49.5
540,71.0,010001110001000,71
541,31.275,111110100100101,31.2812
542,31.275,111110100100101,31.2812
543,26.0,000001101001010,26
544,106.425,110101001100111,106.375
545,26.0,000001101001010,26
546,26.0,000001101001010,26
547,13.8625,110111011100100,13.8594
548,20.525,101001000100101,20.5312
549,36.75,100100110000110,36.75
550,110.8833,110111011100111,110.875
551,26.0,000001101001010,26
552,7.8292,111110101000011,7.82812
553,7.225,111001110100011,7.22656
554,7.775,111110001100011,7.77344
555,26.55,011010100100110,26.5625
556,39.6,010011110100111,39.625
557,227.525,111000111001000,227.5
558,79.65,100111110100111,79.625
559,17.4,100010110100101,17.4062
560,7.75,000001111101000,7.75
561,7.8958,111111001100011,7.89844
562,13.5,000110110000111,13.5
563,8.05,100000001100100,8.04688
564,8.05,100000001100100,8.04688
565,24.15,110000010100101,24.1562
566,7.8958,111111001100011,7.89844
567,21.075,010101000100110,21.0625
568,7.2292,111001110100011,7.22656
569,7.8542,111110110100011,7.85156
570,10.5,001010100000110,10.5
571,51.4792,110011100000110,51.5
572,26.3875,110100110000101,26.375
573,7.75,000001111101000,7.75
574,8.05,100000001100100,8.04688
575,14.5,111010000000100,14.5
576,13.0,011010000000101,13
577,55.9,011011111100111,55.875
578,14.4583,111001110100100,14.4531
579,7.925,111111011000011,7.92188
580,30.0,000111100001000,30
581,110.8833,110111011100111,110.875
582,26.0,000001101001010,26
583,40.125,101000001000110,40.125
584,8.7125,010001011100101,8.71875
585,79.65,100111110100111,79.625
586,15.0,000001111001001,15
587,79.2,100111101000111,79.25
588,8.05,100000001100100,8.04688
589,8.05,100000001100100,8.04688
590,7.125,111001000000011,7.125
591,78.2667,100111001000111,78.25
592,7.25,000011101000111,7.25
593,7.75,000001111101000,7.75
594,26.0,000001101001010,26
595,24.15,110000010100101,24.1562
596,33.0,000010000101010,33
597,0.0,000000000000000,0
598,7.225,111001110100011,7.22656
599,56.9292,111000111100110,56.9375
600,27.0,011011000000110,27
601,7.8958,111111001100011,7.89844
602,42.4,101010011000110,42.375
603,8.05,100000001100100,8.04688
604,26.55,011010100100110,26.5625
605,15.55,111110001100100,15.5469
606,7.8958,111111001100011,7.89844
607,30.5,111101000000101,30.5
608,41.5792,101001100100110,41.5625
609,153.4625,100110011001000,153.5
610,31.275,111110100100101,31.2812
611,7.05,111000011000011,7.04688
612,15.5,000011111001000,15.5
613,7.75,000001111101000,7.75
614,8.05,100000001100100,8.04688
615,65.0,100000100000111,65
616,14.4,111001101000100,14.4062
617,16.1,100000001100101,16.0938
618,39.0,010011100000111,39
619,10.5,001010100000110,10.5
620,14.4542,111001110100100,14.4531
621,52.5542,110100100100110,52.5625
622,15.7417,111110111100100,15.7344
623,7.8542,111110110100011,7.85156
624,16.1,100000001100101,16.0938
625,32.3208,100000010100110,32.3125
626,12.35,110001011000100,12.3438
627,77.9583,100111000000111,78
628,7.8958,111111001100011,7.89844
629,7.7333,011110111100100,7.73438
630,30.0,000111100001000,30
631,7.0542,111000011100011,7.05469
632,30.5,111101000000101,30.5
633,0.0,000000000000000,0
634,27.9,110111110100101,27.9062
635,13.0,011010000000101,13
636,7.925,111111011000011,7.92188
637,26.25,000110100101000,26.25
638,39.6875,100111101100110,39.6875
639,16.1,100000001100101,16.0938
640,7.8542,111110110100011,7.85156
641,69.3,100010101000111,69.25
642,27.9,110111110100101,27.9062
643,56.4958,000111000101001,56.5
644,19.2583,010011010000110,19.25
645,76.7292,100110011000111,76.75
646,7.8958,111111001100011,7.89844
647,35.5,010001110000111,35.5
648,7.55,011110001100100,7.54688
649,7.55,011110001100100,7.54688
650,7.8958,111111001100011,7.89844
651,23.0,010111000000110,23
652,8.4333,010000111000101,8.4375
653,7.8292,111110101000011,7.82812
654,6.75,000011011000111,6.75
655,73.5,001001001101001,73.5
656,7.8958,111111001100011,7.89844
657,15.5,000011111001000,15.5
658,13.0,011010000000101,13
659,113.275,011100010101000,113.25
660,133.65,100001011101000,133.75
661,7.225,111001110100011,7.22656
662,25.5875,110011001100101,25.5938
663,7.4958,111011111100011,7.49219
664,7.925,111111011000011,7.92188
665,73.5,001001001101001,73.5
666,13.0,011010000000101,13
667,7.775,111110001100011,7.77344
668,8.05,100000001100100,8.04688
669,52.0,011010000000111,52
670,39.0,010011100000111,39
671,52.0,011010000000111,52
672,10.5,001010100000110,10.5
673,13.0,011010000000101,13
674,0.0,000000000000000,0
675,7.775,111110001100011,7.77344
676,8.05,100000001100100,8.04688
677,9.8417,010011101100101,9.84375
678,46.9,101110111000110,46.875
679,512.3292,000001000001111,512
680,8.1375,100000100100100,8.14062
681,76.7292,100110011000111,76.75
682,9.225,010010011100101,9.21875
683,46.9,101110111000110,46.875
684,39.0,010011100000111,39
685,41.5792,101001100100110,41.5625
686,39.6875,100111101100110,39.6875
687,10.1708,101000101100100,10.1719
688,7.7958,111110011000011,7.79688
689,211.3375,110100110101000,211.25
690,57.0,000111001001001,57
691,13.4167,110101101100100,13.4219
692,56.4958,000111000101001,56.5
693,7.225,111001110100011,7.22656
694,26.55,011010100100110,26.5625
695,13.5,000110110000111,13.5
696,8.05,100000001100100,8.04688
697,7.7333,011110111100100,7.73438
698,110.8833,110111011100111,110.875
699,7.65,111101001100011,7.64844
700,227.525,111000111001000,227.5
701,26.2875,110100100100101,26.2812
702,14.4542,111001110100100,14.4531
703,7.7417,111101111100011,7.74219
704,7.8542,111110110100011,7.85156
705,26.0,000001101001010,26
706,13.5,000110110000111,13.5
707,26.2875,110100100100101,26.2812
708,151.55,100101111001000,151.5
709,15.2458,000011110101000,15.25
710,49.5042,000110001101001,49.5
711,26.55,011010100100110,26.5625
712,52.0,011010000000111,52
713,9.4833,100101111100100,9.48438
714,13.0,011010000000101,13
715,7.65,111101001100011,7.64844
716,227.525,111000111001000,227.5
717,10.5,001010100000110,10.5
718,15.5,000011111001000,15.5
719,7.775,111110001100011,7.77344
720,33.0,000010000101010,33
721,7.0542,111000011100011,7.05469
722,13.0,011010000000101,13
723,13.0,011010000000101,13
724,53.1,110101001000110,53.125
725,8.6625,100010101000100,8.65625
726,21.0,001010100000111,21
727,7.7375,111101111000011,7.73438
728,26.0,000001101001010,26
729,7.925,111111011000011,7.92188
730,211.3375,110100110101000,211.25
731,18.7875,100101100100101,18.7812
732,0.0,000000000000000,0
733,13.0,011010000000101,13
734,13.0,011010000000101,13
735,16.1,100000001100101,16.0938
736,34.375,010001001100111,34.375
737,512.3292,000001000001111,512
738,7.8958,111111001100011,7.89844
739,7.8958,111111001100011,7.89844
740,30.0,000111100001000,30
741,78.85,100111011100111,78.875
742,262.375,100000110101001,262.5
743,16.1,100000001100101,16.0938
744,7.925,111111011000011,7.92188
745,71.0,010001110001000,71
746,20.25,010100010000110,20.25
747,13.0,011010000000101,13
748,53.1,110101001000110,53.125
749,7.75,000001111101000,7.75
750,23.0,010111000000110,23
751,12.475,110001111000100,12.4688
752,9.5,000100110000111,9.5
753,7.8958,111111001100011,7.89844
754,65.0,100000100000111,65
755,14.5,111010000000100,14.5
756,7.7958,111110011000011,7.79688
757,11.5,101110000000100,11.5
758,8.05,100000001100100,8.04688
759,86.5,001010110101001,86.5
760,14.5,111010000000100,14.5
761,7.125,111001000000011,7.125
762,7.2292,111001110100011,7.22656
763,120.0,001111000001001,120
764,7.775,111110001100011,7.77344
765,77.9583,100111000000111,78
766,39.6,010011110100111,39.625
767,7.75,000001111101000,7.75
768,24.15,110000010100101,24.1562
769,8.3625,100001011100100,8.35938
770,9.5,000100110000111,9.5
771,7.8542,111110110100011,7.85156
772,10.5,001010100000110,10.5
773,7.225,111001110100011,7.22656
774,23.0,010111000000110,23
775,7.75,000001111101000,7.75
776,7.75,000001111101000,7.75
777,12.475,110001111000100,12.4688
778,7.7375,111101111000011,7.73438
779,211.3375,110100110101000,211.25
780,7.2292,111001110100011,7.22656
781,57.0,000111001001001,57
782,30.0,000111100001000,30
783,23.45,010111011100110,23.4375
784,7.05,111000011000011,7.04688
785,7.25,000011101000111,7.25
786,7.4958,111011111100011,7.49219
787,29.125,111010010000101,29.125
788,20.575,010100100100110,20.5625
789,79.2,100111101000111,79.25
790,7.75,000001111101000,7.75
791,26.0,000001101001010,26
792,69.55,001000101101001,69.5
793,30.6958,011110101100110,30.6875
794,7.8958,111111001100011,7.89844
795,13.0,011010000000101,13
796,25.9292,110011111000101,25.9375
797,8.6833,001000101100110,8.6875
798,7.2292,111001110100011,7.22656
799,24.15,110000010100101,24.1562
800,13.0,011010000000101,13
801,26.25,000110100101000,26.25
802,120.0,001111000001001,120
803,8.5167,100010000100100,8.51562
804,6.975,110111110100011,6.97656
805,7.775,111110001100011,7.77344
806,0.0,000000000000000,0
807,7.775,111110001100011,7.77344
808,13.0,011010000000101,13
809,53.1,110101001000110,53.125
810,7.8875,011111100100100,7.89062
811,24.15,110000010100101,24.1562
812,10.5,001010100000110,10.5
813,31.275,111110100100101,31.2812
814,8.05,100000001100100,8.04688
815,0.0,000000000000000,0
816,7.925,111111011000011,7.92188
817,37.0042,010010100000111,37
818,6.45,110011101000011,6.45312
819,27.9,110111110100101,27.9062
820,93.5,010111011001000,93.5
821,8.6625,100010101000100,8.65625
822,0.0,000000000000000,0
823,12.475,110001111000100,12.4688
824,39.6875,100111101100110,39.6875
825,6.95,011011110100100,6.95312
826,56.4958,000111000101001,56.5
827,37.0042,010010100000111,37
828,7.75,000001111101000,7.75
829,80.0,001010000001001,80
830,14.4542,111001110100100,14.4531
831,18.75,000100101101000,18.75
832,7.2292,111001110100011,7.22656
833,7.8542,111110110100011,7.85156
834,8.3,100001001100100,8.29688
835,83.1583,101001100100111,83.125
836,8.6625,100010101000100,8.65625
837,8.05,100000001100100,8.04688
838,56.4958,000111000101001,56.5
839,29.7,111011011000101,29.6875
840,7.925,111111011000011,7.92188
841,10.5,001010100000110,10.5
842,31.0,001111100000111,31
843,6.4375,110011100000011,6.4375
844,8.6625,100010101000100,8.65625
845,7.55,011110001100100,7.54688
846,69.55,001000101101001,69.5
847,7.8958,111111001100011,7.89844
848,33.0,000010000101010,33
849,89.1042,101100100100111,89.125
850,31.275,111110100100101,31.2812
